등록번호,청구기호,서명,저자,발행자,발행년,가격
BRP000452635,104-임14ㅎ,호모 렐리기오수스 : 인간의 자리,임경수 저,학지사,2020;,"14,000"
BRP000452636,591.8-덩97ㅎ,혼내 실연,덩후이원 지음 ; 김새봄 옮김,시그마북스,2020,"13,000"
BRP000452637,189.1-슈211ㅎ,확신은 어떻게 삶을 움직이는가 : 불확실한 오늘을 사는 우리가 놓치고 있는 확신의 놀라운 힘,울리히 슈나벨 지음 ; 이지윤 옮김,인플루엔셜,2020,"15,800"
BRP000452638,224.3-아229ㄱ,(아디야샨티의)가장 중요한 것 : 삶의 가장 깊은 중심에 두어야 할 단 하나의 진실,아디야샨티 지음 ; 이창엽 옮김,불광,2020,"17,000"
BRP000452639,228.7-수47ㄱ,"간화심결 : 간화선 수행, 어떻게 할 것인가",수불 지음,김영사,2019,"13,800"
BRP000452640,235.3-정72ㄱ,강요된 청빈 : 목회자의 경제 현실과 공동체적 극복 방안,정재영 지음,이레서원,2019,"8,000"
BRP000452641,235.6099-이19ㄱ,거지대장 닥터 카딩턴 : 나눔과 비움을 삶으로 보여준 어느 의사 이야기,이기섭 지음,좋은씨앗,2019,"15,000"
BRP000452642,230.4-류95ㄱ,교회에게 하고픈 말 : 사랑하는 교회와 성도를 향한 심중소회,류호준 지음,두란노(두란노서원),2020,"14,000"
BRP000452643,235.84-김94ㄱ,그리스도인에게 왜 인문학이 필요한가? : 인간과 하나님에 대한 더 깊은 이해의 걸음,김형석 지음,두란노(두란노서원),2020,"14,000"
BRP000452644,223.53-서72ㄱ,금강경 강해 : 金剛經五家解를 중심으로,서재홍 역주,담앤북스,2020,"17,000"
BRP000452645,234.8-한18ㄴ,나는 같이 살기로 했다=I decide to live with him : 약하고 지친 삶에 함께한 예수 동행기,한근영 지음,규장,2020,"15,000"
BRP000452646,234.8-김64ㄴ,나는 왜 믿는가 : 믿음의 길을 묻는 당신에게,김영봉 지음,복있는사람,2019,"14,000"
BRP000452647,224.8-정96ㄴ,나와 가족 그리고 가까운 이들을 그냥 좋아하기 : 정화스님 마음강의,정화 지음,북드라망,2020,"13,500"
BRP000452648,234.8-김229ㄷ,뒷골목에서 만난 하나님,김디모데 지음,선율,2019,"15,000"
BRP000452649,235.2-윤16ㅁ,무슨 재미로 사세요? : 어느 젊은 교사의 신앙고백,윤광원 지음,이담 Books:한국학술정보,2019,"14,000"
BRP000452650,220.4-보94ㅂ,바로 오늘입니다,보현 지음 ; 김도아 그림,코쿤아우트,2019,"13,500"
BRP000452651,233.69-박64ㅂ,밥심으로 사는 나라 : 기도와 삶의 부흥을 이끄는 주기도 강해,박영돈 지음,한국기독학생회출판부(IVP),2020,"14,000"
BRP000452652,220.4-김65ㅎ,(법정) 행복한 삶 : 일상을 위로하는 법정 스님의 향기로운 가르침,김옥림 지음,미래북,2020,"14,000"
BRP000452653,235.2-클231ㅂ,부르심,"에드먼드 클라우니 지음 ; 이정규,황영광 옮김",복 있는 사람,2020,"10,000"
BRP000452654,219-이57ㅂ,"북유럽 신화=Norse mythology : 신들의 모험, 사랑 그리고 전쟁",이수현 글 ; 정인 그림,지학사아르볼:지학사,2019,"15,000"
BRP000452655,220.1-김77ㅂ,붓다 사상의 재발견 : 진리에 대한 집착마저 내려놓다,김주원 지음,북랩(booklab),2019,"14,000"
BRP000452656,104-김94ㅅ,삶의 한가운데 영원의 길을 찾아서 : 100세 철학자 김형석 교수의 신앙 에세이,김형석 지음,열림원,2020,"15,000"
BRP000452657,226.911-신73ㅅ,신정일의 한국의 사찰 답사기,신정일 글,푸른영토,2019,"14,800"
BRP000452658,219-김211ㅇ,아시아 신화는 처음이지?,김남일 지음,자음과모음,2020,"14,000"
BRP000452659,219-도219ㅇ,암시된 거미 : 신화 속의 정치와 신학,웬디 도니거 지음 ; 최화선 옮김,이학사,2020,"23,000"
BRP000452660,224.3-용57ㅇ,용수 스님의 코끼리 : 본래 나로 사는 지혜,용수 지음,스토리닷,2019,"13,500"
BRP000452661,280-그239ㅇ,이슬람 세계 속 기독교 : 초기 아랍 그리스도교 변증가들의 역사 이야기,시드니 H. 그리피스 지음 ; 서원모 옮김,새물결플러스,2019,"19,000"
BRP000452662,200-슈831ㅈ,"종교, 최대한 쉽게 설명해 드립니다 : 선한 신이 창조한 세상에 왜 악이 존재하는가? : 종교의 본질에 관한 24가지 질문",게르하르트 슈타군 지음 ; 장혜경 옮김,이화북스,2018,"13,800"
BRP000452663,234.82-드45ㅈ,진짜 감사 : 혼자가 되었지만 난 혼자가 아니야,드보라 지음 ; 이은정 그림,하임,2019,"13,800"
BRP000452664,220-불16,(초심자를 위한) 불교 입문서 : 정신적 안온을 찾고자 하는 현대인을 위한 안내서,정엄 감수,리즈앤북,2019,"18,000"
BRP000452665,221-틱211ㅌ,틱낫한 불교 : 붓다의 가르침을 이해하는 가장 순수한 방법,틱낫한 지음 ; 권선아 옮김,불광출판사,2019,"18,000"
BRP000452666,234.2-햇51ㅎ,하나님의 선물 : 관계에 지쳐있는 당신을 위한 묵상집,햇살콩 글·그림,규장,2019,"15,000"
BRP000452667,230.4-하73ㅎ,"하나님의 선물, 오늘 하루 : 마음에 상처를 안고 살아가는 이들이 읽으면 치유가 되는 수필 묵상집",하정원 지음,CLC(기독교문서선교회),2019,"15,000"
BRP000452668,235.8-바49ㅎ,헤르만 바빙크의 기독교 세계관 : 혼돈의 시대를 살아가는 그리스도인을 위한 치유 : 화란어 직역,헤르만 바빙크 지음 ; 김경필 옮김,다함,2020,"15,000"
BRP000452669,327.2-데69ㅇ,1달러의 세계 경제 여행 : 달러의 흐름으로 보는 세계 경제의 작동원리,다르시니 데이비드 지음 ; 박선령 옮김,센시오,2020,"16,500"
BRP000452671,331.5412-노53ㅇ,"AI 시대, 내 일의 내일 : 인공지능 사회의 최전선",노성열 지음,동아시아,2020,"15,000"
BRP000452672,321.55-한17ㅇ,e스포츠 마스터플랜 : 십대가 되고 싶은 직업 로드맵,한국이스포츠아카데미 지음,더디퍼런스,2019,"12,500"
BRP000452673,199.1-스19ㄱ,결정을 못해서 고민입니다. 우유부단함과 이별하고 인생이 행복해지는 선택의 기술 30,스기우라 리타 지음 ; 이용택 옮김,이너북,2020,"15,000"
BRP000452674,370.13-박811ㄱ,경계선 지능과 부모 : 지치지 않고 자녀와 행복하게 성장하는 법,박찬선 지음,이담북스,2020,"18,500"
BRP000452675,327.87-김67ㄱ,(왕초보도 완전 쉽게 따라 하는) 경매 통장 플러스,김유한 지음,포레스트북스,2020,"16,000"
BRP000452676,325.712-공44ㄱ,광고는 어떻게 세상을 유혹하는가? : 쉽게 읽히는 광고의 사회문화사,공병훈 지음,팬덤북스,2020,"16,000"
BRP000452677,371.37-김75ㄱ,"교사, 함께 할수록 빛나는 : 삶을 글로 나누며 성장하는 교사학습공동체 이야기",김종훈 지음,템북,2020,"16,000"
BRP000452678,373.4-김845ㄱ,교육의 미래 티칭이 아니라 코칭이다,"폴김,함돈균 지음",세종,2020,"17,000"
BRP000452679,375.1-그239,(일상의 그림책이 놀이로 연결되는) 그림책 놀이 82,"성은숙,이미영,이은주,한혜전,홍표선 지음",교육과실천,2020,"19,800"
BRP000452680,325.211-캐848ㄴ,"나는 오늘도 행운을 준비한다 : 일과 사랑, 삶을 변화시키는 행운의 과학","제니스 캐플런,바나비 마쉬 지음 ; 김은경 옮김",Winner's Book(위너스북),2020,"15,000"
BRP000452681,325.211-최45ㄴ,나다운 방탄멘탈,최보규 지음,베프북스,2020,"16,800"
BRP000452682,325.21-김231ㄴ,나만의 공간을 만드는 창업 가이드 : 작은 가게를 기획합니다,김란 지음,Book by PUBLY(북 바이 퍼블리),2020,"15,800"
BRP000452683,325.211-가66ㄴ,노오력하지 않아도 잘되는 사람에게는 작은 습관이 있다,"가와시타 가즈히코,다무라 요코 지음 ; 이은미 옮김",글담출판:글담출판사,2020,"12,000"
BRP000452684,327.87-심94ㄴ,"누가 뭐래도 서울 아파트를 사라 : 서울 아파트, 지금 사도 늦지않았다!","심형석,강승민 지음",원앤원북스,2020,"16,000"
BRP000452685,337.2-게69ㄴ,누구도 멈출 수 없다 : 여성의 삶이 달라져야 세상이 바뀐다,멜린다 게이츠 지음 ; 강혜정 옮김,부키,2020,"18,000"
BRP000452686,340.92-프239ㄷ,"다가오는 유럽의 위기와 지정학 : 브렉시트, 유럽연합의 와해 그리고 독일 문제의 재부상",조지 프리드먼 지음 ; 홍지수 옮김,김앤김북스,2020,"16,000"
BRP000452687,379.33-김31ㄷ,다문화가정의 교육전략은 따로 있다 : 초등교육에서 대학입시 전략까지,김만호 지음,마음서재,2020,"16,000"
BRP000452688,337.2-팔237ㄷ,"다크룸 : 영원한 이방인, 내 아버지의 닫힌 문 앞에서",수전 팔루디 지음 ; 손희정 옮김,Arte(아르테),2020,"33,000"
BRP000452689,840-앨239ㄷ,당신 엄마 맞아? : 웃기는 연극,앨리슨 벡델 글·그림 ; 송섬별 옮김,움직씨,2019,"15,000"
BRP000452690,004.73-블231ㅇ,"(당신이 알고 싶은) 음성인식 AI의 미래 : PC, 스마트폰을 잇는 최후의 컴퓨터",제임스 블라호스 지음 ; 박진서 옮김,김영사,2020,"18,000"
BRP000452691,331.47-최75ㄷ,대구경북의 사회학 : 대구경북 사람들의 마음의 습속 탐구,최종희 지음,오월의봄,2020,"22,000"
BRP000452692,325.23-아51ㄷ,더 팀 : 성과를 내는 팀에는 법칙이 있다,아사노 고지 지음 ; 이용택 옮김,리더스북:웅진씽크빅,2020,"16,000"
BRP000452693,490.23-동37ㄷ,"동물법, 변호사가 알려드립니다",동물권연구변호사단체 PNR 지음,리리 퍼블리셔,2020,"15,000"
BRP000452694,325.19-로66ㄷ,디스럽터 : 시장의 교란자들 : 파괴하는 자만이 새로운 제국을 짓는다,데이비드 로완 지음 ; 김문주 옮김,쌤앤파커스,2020,"22,000"
BRP000452695,214-프239ㄴ,(마음의 평안과 성공을 위한) 4가지 신성한 비밀 : 아름다운 마음의 혁명은 어떻게 오는가,"프리타지,크리슈나지 지음 ; 추미란 옮김",김영사,2020,"16,000"
BRP000452696,848-맥49ㅁ,맨 얼라이브 : 남자를 살아내다,토머스 페이지 맥비 지음 ; 김승욱 옮김,지학사,2020,"15,000"
BRP000452697,375.222-허58ㅁ,명불허전 학급경영 : 허쌤의 첫 만남 프로젝트!,허승환 지음 ; 허예은 그림,꿀잼교육북스,2020,"19,000"
BRP000452698,337.2-모227,모두를 위한 성평등 공부 : 성평등 교육에 관한 여덟 가지 질문,"이나영,최윤정,안재희,한채윤,김소라,김수아 지음",프로젝트P,2020,"17,000"
